query_node_id,user_id,time_query,query_lat,query_lng,area_id,query_location_hint,time_slot_id,term,desired_price_range_id,preferred_aspects,raw_preferred_aspects,distance_tolerance_m,store_node_id,store_id,store_name,rank,relevance_score,relevance_weight,distance_m,rating,review_count,median_price,latitude,longitude,is_closed,reason
query:u001,u001,6/1/2026 12:10,21.006237,105.840925,Ha Noi:Quan Hai Ba Trung,HUST cổng Trần Đại Nghĩa,lunch,com|com ga|com van phong,under_50k,price|service,value_for_money|staff_service,1200,store:4486,4486,"Bento Delichi (by Cooky) - Cơm Gà Mắm Tỏi, Xối Mỡ - Xã Đàn",1,0.86364,1.0,595.0,4.7,2748,56000.0,21.01066017,105.8376999,false,"khớp term: com, com ga, com van phong; cách query 595m; rating 4.7; price_min 8000; opening_status=open"
query:u001,u001,6/1/2026 12:10,21.006237,105.840925,Ha Noi:Quan Hai Ba Trung,HUST cổng Trần Đại Nghĩa,lunch,com|com ga|com van phong,under_50k,price|service,value_for_money|staff_service,1200,store:11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,2,0.854962,0.63093,394.5,4.5,39,59000.0,21.00283051,105.8419876,false,"khớp term: com, com ga; cách query 395m; rating 4.5; price_min 10000; opening_status=open"
query:u001,u001,6/1/2026 12:10,21.006237,105.840925,Ha Noi:Quan Hai Ba Trung,HUST cổng Trần Đại Nghĩa,lunch,com|com ga|com van phong,under_50k,price|service,value_for_money|staff_service,1200,store:7635,7635,Happy Food Cơm Gà Ba Vì,3,0.780724,0.5,878.9,4.8,4000,65000.0,20.99850082,105.842659,false,"khớp term: com, com ga; cách query 879m; rating 4.8; price_min 12000; opening_status=open"
query:u001,u001,6/1/2026 12:10,21.006237,105.840925,Ha Noi:Quan Hai Ba Trung,HUST cổng Trần Đại Nghĩa,lunch,com|com ga|com van phong,under_50k,price|service,value_for_money|staff_service,1200,store:14318,14318,Thuỷ Hùng Cơm Gà Ba Vì - Phố Vọng,4,0.780724,0.430677,878.9,4.8,1618,65000.0,20.99850082,105.842659,false,"khớp term: com, com ga; cách query 879m; rating 4.8; price_min 12000; opening_status=open"
query:u001,u001,6/1/2026 12:10,21.006237,105.840925,Ha Noi:Quan Hai Ba Trung,HUST cổng Trần Đại Nghĩa,lunch,com|com ga|com van phong,under_50k,price|service,value_for_money|staff_service,1200,store:42458,42458,Cơm Gà Xối Mỡ Mai Phương - Lê Thanh Nghị,5,0.770303,0.386853,845.5,4.6,226,50000.0,21.00358009,105.8485565,false,"khớp term: com, com ga; cách query 845m; rating 4.6; price_min 50000; opening_status=open"
query:u002,u002,6/2/2026 13:10,21.004356,105.845382,Ha Noi:Quan Hai Ba Trung,KTX Bách Khoa,lunch,bun|pho,under_50k,price|food_quality,value_for_money|taste,1400,store:8805,8805,Gà Rán Texas Chicken - Bạch Mai,1,0.858128,1.0,623.5,4.8,2851,79000.0,21.00197983,105.8508224,false,"khớp term: bun, pho; cách query 624m; rating 4.8; price_min 3000; opening_status=open"
query:u002,u002,6/2/2026 13:10,21.004356,105.845382,Ha Noi:Quan Hai Ba Trung,KTX Bách Khoa,lunch,bun|pho,under_50k,price|food_quality,value_for_money|taste,1400,store:8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,2,0.812859,0.63093,542.8,4.6,1787,60000.0,21.00073051,105.8418808,true,"khớp term: bun, pho; cách query 543m; rating 4.6; price_min 35000; opening_status=closed"
query:u002,u002,6/2/2026 13:10,21.004356,105.845382,Ha Noi:Quan Hai Ba Trung,KTX Bách Khoa,lunch,bun|pho,under_50k,price|food_quality,value_for_money|taste,1400,store:76300,76300,Phở Gà & Thịt Xiên - Bùi Ngọc Dương,3,0.808449,0.5,907.8,4.4,131,67500.0,21.00065994,105.8531799,false,"khớp term: bun, pho; cách query 908m; rating 4.4; price_min 8000; opening_status=open"
query:u002,u002,6/2/2026 13:10,21.004356,105.845382,Ha Noi:Quan Hai Ba Trung,KTX Bách Khoa,lunch,bun|pho,under_50k,price|food_quality,value_for_money|taste,1400,store:13998,13998,Quán Thiên Đức - Tự Do,4,0.798913,0.430677,668.4,4.2,60,32000.0,20.99867058,105.8474731,false,"khớp term: bun, pho; cách query 668m; rating 4.2; price_min 32000; opening_status=open"
query:u002,u002,6/2/2026 13:10,21.004356,105.845382,Ha Noi:Quan Hai Ba Trung,KTX Bách Khoa,lunch,bun|pho,under_50k,price|food_quality,value_for_money|taste,1400,store:77657,77657,BBQ Chicken - Gà Rán Hàn Quốc - Bà Triệu,5,0.786249,0.386853,817.2,4.9,141,137000.0,21.01087952,105.8490067,false,"khớp term: bun, pho; cách query 817m; rating 4.9; price_min 22000; opening_status=open"
