store_id,canonical_name,address,lat,lng,ward,district,city,primary_category,status,be_open_time,be_close_time,median_price_vnd,be_rating_avg,be_rating_count,google_name,google_query_name,google_query_address,google_address,google_lat,google_lng,google_rating,google_review_count,google_phone,google_website,google_place_id,google_data_id,google_open_state,google_open_time,google_close_time,google_match_method,google_match_confidence,google_match_score
32441,Mì Cay Seoul - Trần Đại Nghĩa,"91 Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội",21.004289627075195,105.8455581665039,Bách Khoa,Hai Bà Trưng,Hà Nội,Bún/Phở/Mỳ/Cháo,active,09:00,22:30,33000,2.4,266,Mì Cay SEOUL Trần Đại Nghĩa,Mì Cay Seoul - Trần Đại Nghĩa,"91 Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội","223 Trần Đại Nghĩa, Đồng Tâm, Bạch Mai, Hà Nội 10000, Việt Nam",20.9980989,105.84599639999999,2.4,266,+84 981 997 983,https://micayseoul.com/,32441,268714.0,Sắp đóng cửa · 22:00 · Mở cửa lúc 8:00 CN,08:00,22:00,google_unique,high,1.0
31947,Kufoodd - Mì Trộn Indomie & Đồ Ăn Nhanh - Đê Tô Hoàng,"22 Ngách 62B Ngõ 219 Đê Tô Hoàng, P. Cầu Dền, Hai Bà Trưng, Hà Nội",21.005510330200195,105.84844207763672,,Hai Bà Trưng,Hà Nội,Bún/Phở/Mỳ/Cháo,active,14:00,22:30,38000,4.7,37,Tuý food - mì trộn Indomie,Kufoodd - Mì Trộn Indomie & Đồ Ăn Nhanh - Đê Tô Hoàng,"22 Ngách 62B Ngõ 219 Đê Tô Hoàng, P. Cầu Dền, Hai Bà Trưng, Hà Nội","Ngõ 25 Đ. Đại Cồ Việt, Cầu Dền, Bạch Mai, Hà Nội, Việt Nam",21.008567,105.8504729,4.7,37,+84 979 599 902,,31947,1153490.0,Đang mở cửa · Đóng cửa vào 0:00,09:30,00:00,google_unique,high,1.0
40268,Xuân Food - Mì Trộn Indomie - Tạ Quang Bửu,"5 ngõ 17 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội",21.00433921813965,105.84838104248047,Bách Khoa,Hai Bà Trưng,Hà Nội,Bún/Phở/Mỳ/Cháo,active,00:00,23:59,30000,4.7,3,Xuân Food - Mì Trộn Indomie - Minh Khai,Xuân Food - Mì Trộn Indomie - Tạ Quang Bửu,"5 ngõ 17 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội","15 Ngõ 243 Ngõ 195 cũ, Minh Khai, Bạch Mai, Hà Nội, Việt Nam",20.996048599999998,105.8591603,4.7,3,+84 705 000 286,,40268,1145100.0,Mở cả ngày,,,google_unique,high,1.0
72445,Bếp Cô Nụ - Bánh Mì Chảo Sốt Vang & Gà Viên Chiên - Trần Đại Nghĩa,"26 Ngõ 183 Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",21.000240325927734,105.84551239013672,,Hai Bà Trưng,Hà Nội,Bánh Mì/Xôi,active,16:30,21:00,49000,4.7,186,Bánh Mì Chảo - Bếp Cô Nụ,Bếp Cô Nụ - Bánh Mì Chảo Sốt Vang & Gà Viên Chiên - Trần Đại Nghĩa,"26 Ngõ 183 Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội","Đại Học Kinh Tế Quốc Dân (NEU, 26 Ng. 183 P. Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",21.0002302,105.8463615,4.7,186,+84 962 688 886,https://shopeefood.vn/u/rLSWLEu,72445,1170422.0,Đã đóng cửa · Mở cửa lúc 9:00 Thứ 2,09:00,21:00,google_unique,high,1.0
126679,Mì Cay Sassin 7 Cấp Độ Hàn Quốc - Bách Khoa,"104K9 Nguyễn Hiền, Phường Bạch Mai, Hà Nội",21.001110076904297,105.84723663330078,Bạch Mai,Phường Bạch Mai,Hà Nội,Bún/Phở/Mỳ/Cháo,active,08:00,22:00,0,3.9,1172,Mỳ cay sasin,Mì Cay Sassin 7 Cấp Độ Hàn Quốc - Bách Khoa,"104K9 Nguyễn Hiền, Phường Bạch Mai, Hà Nội","119A Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội 100000, Việt Nam",21.0024083,105.84488909999999,3.9,1172,,,126679,104417,,,,google_unique,high,1.0
80180,"Quyên Phở Gà - Phở, Mì & Miến Trộn - Phố Vọng","52 Phố Vọng, Phương Mai, Đống Đa, Hà Nội",20.998409271240234,105.8421630859375,,Đống Đa,Hà Nội,Bún/Phở/Mỳ/Cháo,active,00:00,23:59,45000,0.0,21,Quyên phở gà,"Quyên Phở Gà - Phở, Mì & Miến Trộn - Phố Vọng","52 Phố Vọng, Phương Mai, Đống Đa, Hà Nội","52 P. Vọng, Đồng Tâm, Bạch Mai, Hà Nội, Việt Nam",20.9981938,105.8421336,0.0,0.0,,,80180,1125947.0,,,,google_unique,high,1.0
47053,Bee Quán - Bún Sườn Chua Trộn & Cháo Sườn - Ngõ Thái Lợi,"18 Ngõ Thái Lợi, Tổ dân phố 3A+Tổ dân phố 3B, Bạch Mai, Hai Bà Trưng, Hà Nội, Việt Nam",21.001419067382812,105.85121154785156,Bạch Mai,Hai Bà Trưng,Hà Nội,Bún/Phở/Mỳ/Cháo,active,06:30,22:30,45500,4.3,3,Bee Quán,Bee Quán - Bún Sườn Chua Trộn & Cháo Sườn - Ngõ Thái Lợi,"18 Ngõ Thái Lợi, Tổ dân phố 3A+Tổ dân phố 3B, Bạch Mai, Hai Bà Trưng, Hà Nội, Việt Nam","2V22+HFM, Ng. Thái Lợi, Bạch Mai, Hà Nội, Việt Nam",21.001455,105.8511721,4.3,3,,,47053,1168093.0,,,,google_unique,high,1.0
130783,Bún Bò Huế Cố Đô 1 - Tạ Quang Bửu,"Số 10 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội",21.005460739135742,105.84712219238281,Bạch Mai,Phường Bạch Mai,Hà Nội,Bún/Phở/Mỳ/Cháo,active,08:00,22:00,0,4.2,25,Bún bò Huế Anh Quân,Bún Bò Huế Cố Đô 1 - Tạ Quang Bửu,"Số 10 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội","51a Đ. Đại Cồ Việt, Lê Đại Hành, Bạch Mai, Hà Nội 10000, Việt Nam",21.0078881,105.84690739999999,4.2,25,+84 327 190 197,,130783,1276010.0,,,,google_unique,high,1.0
86930,Bún Cá Cô Minh - Tạ Quang Bửu,"Số 3 Ngõ 40/2 Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",21.003820419311523,105.84668731689453,Bách Khoa,Hai Bà Trưng,Hà Nội,Bún/Phở/Mỳ/Cháo,active,07:00,21:00,40000,4.2,5,Bún Cá Cô Minh,Bún Cá Cô Minh - Tạ Quang Bửu,"Số 3 Ngõ 40/2 Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","3 Ngh. 40/2 P. Tạ Quang Bửu, Bách Khoa, Bạch Mai, Hà Nội 100000, Việt Nam",21.0040943,105.8465573,4.2,5,,,86930,1000048639.0,,,,google_unique,high,1.0
117526,Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị,"40 Lê Thanh Nghị, Phường Bạch Mai, Hà Nội",21.003389358520508,105.84977722167969,Bạch Mai,Phường Bạch Mai,Hà Nội,Cơm/Cơm tấm,active,18:00,21:40,0,4.6,203,Bếp Béo - Chuẩn Vị Trung Hoa,Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị,"40 Lê Thanh Nghị, Phường Bạch Mai, Hà Nội","68 P. Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân, Hà Nội 100000, Việt Nam",20.998808399999998,105.8006127,4.6,203,+84 833 203 203,https://bepbeo.vn/,117526,1196853.0,Đang mở cửa · Đóng cửa vào 23:00,09:00,23:00,google_unique,high,1.0
